time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-04-30T02:40:02.730Z,34.1471672,-117.4531631,5.99,1.29,ml,24,106,0.07166,0.16,ci,ci37218688,2014-04-30T02:42:19.772Z,"6km NNW of Fontana, California",earthquake
2014-04-30T02:24:11.000Z,61.563,-148.4661,15,0.9,ml,,,,1.49,ak,ak11246283,2014-04-30T02:38:42.936Z,"26km ESE of Lazy Mountain, Alaska",earthquake
2014-04-30T02:18:47.000Z,61.4941,-146.5479,17.1,2.4,ml,,,,0.71,ak,ak11246274,2014-04-30T02:25:50.071Z,"41km NNW of Valdez, Alaska",earthquake
2014-04-30T01:58:25.300Z,38.8175,-122.7963,3,2,Md,44,28.8,0.00898315,0.04,nc,nc72212191,2014-04-30T07:40:12.150Z,"5km NW of The Geysers, California",earthquake
2014-04-30T01:52:13.140Z,34.1826668,-117.5603333,12.12,1.49,ml,36,72,0.05545,0.25,ci,ci37218680,2014-04-30T01:54:22.929Z,"8km NNE of Rancho Cucamonga, California",earthquake
2014-04-30T01:46:35.000Z,62.916,-150.8138,99.1,1.7,ml,,,,0.64,ak,ak11246269,2014-04-30T01:51:31.840Z,"75km NNW of Talkeetna, Alaska",earthquake
2014-04-30T01:43:28.000Z,62.8392,-151.1333,100,1.6,ml,,,,0.46,ak,ak11246266,2014-04-30T01:49:50.481Z,"77km NW of Talkeetna, Alaska",earthquake
2014-04-30T01:02:53.600Z,38.7938,-122.7257,2,0.6,Md,6,90,0.00898315,0.01,nc,nc72212176,2014-04-30T01:30:12.709Z,"3km S of Cobb, California",earthquake
2014-04-30T00:52:25.000Z,60.6001,-147.5453,15.9,1.4,ml,,,,1.17,ak,ak11246261,2014-04-30T00:56:29.246Z,"65km ESE of Whittier, Alaska",earthquake
2014-04-30T00:35:28.000Z,63.5681,-147.304,0,1.5,ml,,,,0.61,ak,ak11246159,2014-04-30T00:38:35.539Z,"84km ENE of Cantwell, Alaska",earthquake
2014-04-30T00:31:52.000Z,60.05,-152.769,98.3,2.2,ml,,,,0.54,ak,ak11246157,2014-04-30T00:36:09.081Z,"48km S of Redoubt Volcano, Alaska",earthquake
2014-04-30T00:30:45.110Z,35.6558342,-118.4714966,10.31,1.46,ml,18,66,0.007231,0.14,ci,ci37218672,2014-04-30T00:33:08.091Z,"4km N of Lake Isabella, California",earthquake
2014-04-30T00:13:27.600Z,37.6472,-118.9507,7.9,1.2,Md,18,86.4,0.01796631,0.03,nc,nc72212151,2014-04-30T01:33:07.998Z,"1km E of Mammoth Lakes, California",earthquake
2014-04-30T00:10:46.000Z,61.9537,-150.1435,99.8,1.2,ml,,,,1.05,ak,ak11246154,2014-04-30T00:13:09.468Z,"23km NNW of Willow, Alaska",earthquake
2014-04-30T00:09:37.000Z,46.754,-121.9863,8.2,0.3,Md,,198,0.11678099,0.11,uw,uw60748112,2014-04-30T03:47:53.443Z,"24km ESE of Eatonville, Washington",earthquake
2014-04-30T00:02:52.000Z,61.1258,-147.2916,0,1.7,ml,20,82.7999933760005,,1.01,ak,ak11246151,2014-04-30T00:07:33.765Z,"50km W of Valdez, Alaska",earthquake
2014-04-30T00:01:35.000Z,62.798,-149.1671,62.8,0.5,ml,,,,0.07,ak,ak11246149,2014-04-30T02:16:33.173Z,"67km S of Cantwell, Alaska",earthquake
2014-04-29T23:58:09.000Z,19.3612,-155.811,13.8,1.7,Md,,111.6,0.10779783,0.12,hv,hv60680481,2014-04-30T03:10:46.730Z,"11km SSE of Honaunau-Napoopoo, Hawaii",earthquake
2014-04-29T23:52:14.000Z,58.9614,-154.3333,100,2.7,ml,,,,0.91,ak,ak11246145,2014-04-30T07:54:43.706Z,"93km SSE of Old Iliamna, Alaska",earthquake
2014-04-29T23:47:42.000Z,63.0533,-151.4168,4.8,1.3,ml,,,,0.37,ak,ak11246143,2014-04-29T23:54:48.203Z,"105km NW of Talkeetna, Alaska",earthquake
2014-04-29T23:37:20.000Z,53.5155,-165.1075,43.7,2.2,ml,,,,0.51,ak,ak11246140,2014-04-30T01:51:33.029Z,"81km SSE of Akutan, Alaska",earthquake
2014-04-29T23:25:47.000Z,61.1304,-146.997,2.9,2.1,ml,,,,0.87,ak,ak11246134,2014-04-29T23:30:47.161Z,"34km W of Valdez, Alaska",earthquake
2014-04-29T23:23:29.000Z,63.3862,-151.4663,14.4,1.1,ml,,,,0.41,ak,ak11246133,2014-04-29T23:27:47.360Z,"125km W of Cantwell, Alaska",earthquake
